Number;Draw no.;Genus;Species;Subspecies;Country;Locality;Key locality;OrigLatitude;OrigLongitude;Latitude;Longitude;Habitat;Collector/Leg.;Day;Month;Year;DBL no.;GMB no.;Type;Notes (1);Notes (2);Box no.
5867;10;Ceratophallus;natalensis;;Kenya;Stream crossing Nairobi-Thika road near Kahawa;Kahawa;1° 10' 60S;36° 55' 0E;-1.18330;36.91670;Stream;Young;;;1972;;9;;Anisus natalensis on label;;
5868;10;Ceratophallus;natalensis;;Kenya;River Ragati near Karatina, Mt. Kenya;Karatina;1° 0' 0S;36° 46' 0E;-1.00000;36.76670;River;Young;;;1972;;47;;Anisus natalensis on label;;
5869;10;Ceratophallus;natalensis;;Kenya;Small River 1 mile from Kisumu;Kisumu;0° 6' 0S;34° 45' 0E;-0.10000;34.75000;River;Cridland;;4;1952;;;;Anisus natalensis on label;;
5870;10;Ceratophallus;natalensis;;Kenya;Mbagathi Stream, Ngong;Mbagathi ;1°25'0'' S;36°47'0'' E;;;Stream;Corbet;9;12;1955;;;;Anisus natalensis on label;;
5871;10;Ceratophallus;natalensis;;Kenya;Awasi E of Kisumu;Awasi ;0° 10' 0S;35° 4' 0E;-0.16670;35.06670;;JEJ;4;6;1976;;;;Anisus natalensis on label;;
5872;10;Ceratophallus;natalensis;;Kenya;River Kisal at Kisumu;Kisumu;0° 6' 0S;34° 45' 0E;-0.10000;34.75000;River;MacMahon;5;1;1950;;;;Anisus natalensis on label;;
5873;10;Ceratophallus;natalensis;;Kenya;Mshekasheni Stream, Taveta;Taveta;3° 23' 60S;37° 40' 60E;-3.40000;;Stream;Highton;;10;1970;;;;Anisus natalensis on label;;
5874;10;Ceratophallus;natalensis;;Kenya;Ahero E of Kisumu;Ahero;0° 10' 60S;34° 55' 0E;-0.18330;34.91670;;Choudry;;9;1972;;;;Anisus natalensis on label;;
5875;10;Ceratophallus;natalensis;;Kenya;Bunyala at Nzoia River ;Bunyala;0° 6' 0N;33° 58' 0E;0.10000;33.96670;River;OR;16;5;1975;;;;;;
5876;10;Ceratophallus;natalensis;;Kenya;Pool, Kano Plains;Kano Plains;;;-0.11667;34.86667;Pool;Kinoti;;;1969;;;;Anisus natalensis on label;;
5877;10;Ceratophallus;natalensis;;Kenya;Tributary of River Rongai, Mt. Kenya;River Rongai;;;;;River;Young;;;1972;;50;;Anisus natalensis on label;;
5878;10;Ceratophallus;natalensis;;Kenya;Kavirondo Gulf, near Kisumu 15 feet;Kisumu;0° 6' 0S;34° 45' 0E;-0.10000;34.75000;Lake ;"""Lakelab""";;3;1952;;;;Anisus natalensis on label;;
5879;10;Ceratophallus;natalensis;;Kenya;River Nyondo at Kisumu;Kisumu;0° 6' 0S;34° 45' 0E;-0.10000;34.75000;River;Cridland;;;1951;;;;Anisus natalensis on label;;
